museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
219,"Museo Regional de Historia de Aguascalientes","Historia","1988-10-03","Secretaría de Cultura/INAH",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 118","Centro","20000","(449) 916 52 28","http://www.inah.gob.mx/red-de-museos/235-museo-regional-de-historia-de-aguascalientes","","aguascalientes.mrh@inah.gob.mx","",-102.2982,21.88035,"http://sic.gob.mx/ficha.php?table=museo&table_id=219","2020-02-20 05:03:11-06"
1790,"Museo Espacio","Arte","2016-01-29","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Manuel Gómez Morín s/n, Complejo Macro Espacuo para la Cultura y las Artes (MECA)","Ant. Talleres del FFCC","20259","(449) 688 41 01","","","museoespacioags@gmail.com","",-102.28127,21.89126,"http://sic.gob.mx/ficha.php?table=museo&table_id=1790","2021-06-07 06:16:58-05"
1046,"Museo José Guadalupe Posada","Arte","1972-09-16","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Jardín del Encino s/n lado Nte.","Barrio del Encino","20240","(449) 915 45 56","","","museoposada@gmail.com","",-102.29298,21.87534,"http://sic.gob.mx/ficha.php?table=museo&table_id=1046","2021-05-24 03:32:04-05"
929,"Museo Ferrocarrilero","Historia","2003-03-04","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Plaza de las Tres Centurias, Av. 28 de Agosto s/n","Barrio de la Estación","20059","(449) 994 27 61 y 62","https://museosygalerias.com/conoce-mas/artist-1/","","mferrocarrilero@gmail.com","",-102.28093,21.88477,"http://sic.gob.mx/ficha.php?table=museo&table_id=929","2021-01-27 04:43:49-06"
2020,"Museo de Sitio del Teatro Morelos","","1000-01-01","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 113, Plaza de la Patria de Aguascalientes","Zona Centro","20000","(449) 915 19 41","","","produccionagsica@gmail.com","",-102.29702,21.88021,"http://sic.gob.mx/ficha.php?table=museo&table_id=2020","2020-02-07 08:36:06-06"
1069,"Museo del Juguete Tradicional Mexicano","Arte","1998-11-06","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 224","Centro","20000","449 209 88 03","","","museodeljuguetetradicional@yahoo.com","",-102.29859,21.87922,"http://sic.gob.mx/ficha.php?table=museo&table_id=1069","2021-09-28 12:24:12-05"
1453,"Museo de Sitio los Arquitos","Historia","1994-11-01","Instituto Cultural de Aguascalientes/Centro Cultural Los Arquitos",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda y Héroe de Nacozari","Barrio La Purísima","20000","(449) 916 92 01","https://www.aguascalientes.gob.mx/temas/cultura/","","c.culturallosarquitos@gmail.com","",-102.28221,21.88298,"http://sic.gob.mx/ficha.php?table=museo&table_id=1453","2021-06-07 05:56:30-05"
1808,"Museo Escárcega","Arte","2015-05-21","Museo Escárcega, A.C.",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Ezequiel A. Chávez 311","Barrio de la Purísima","20000","449 918 67 30","https://museoeer.wixsite.com/muse/acerca-de-nosotros","","museoescarcega@hotmail.com","",-102.28575,21.88473,"http://sic.gob.mx/ficha.php?table=museo&table_id=1808","2020-09-24 17:00:36-05"
217,"Museo de Arte Contemporáneo No. 8","Arte","1991-04-14","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Morelos s/n esq. Primo Verdad","Centro","20000","(449) 918 69 01","","http://museosygalerias.com/conoce-mas/artist-2/","mac8ica@gmail.com","",-102.29483,21.8829,"http://sic.gob.mx/ficha.php?table=museo&table_id=217","2020-02-05 06:57:43-06"
1169,"Museo Nacional de la Muerte","Arte","2007-06-19","Universidad Autónoma de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Rivero y Gutiérrez esq. Morelos","Centro","20000","(449) 910 74 00 ext. 7208","http://museonacionaldelamuerte.uaa.mx","","japadill@correo.uua.mx","",-102.29551,21.88397,"http://sic.gob.mx/ficha.php?table=museo&table_id=1169","2019-09-23 07:09:36-05"
